ᎣᏍᏛ,good
ᎯᎠ,this
ᎿᏉ,now
ᎠᎴ,and
ᎨᏎᎢ,was
ᎨᏒ,was
ᎨᏒᎢ,being
ᎨᏎᏍᏗ,will be
ᎣᏍᏓ,good
ᎠᎦᏬᎥᎢ,being baptized
ᎠᏂ,Here
ᎠᏍᏗ,Edge of
ᎠᏏ,Still. Yet.
ᎠᏏᏉ,Yet again. Just yet.
ᎤᏟ,More
ᎤᏙᏗ,More
ᎢᏯᏍᏗ,Until
ᎢᏴᎢ,That time. That place.
ᎤᎵᏂᎬᏁᎭ,Laboring for someone. (ᎤᎵᏂᎬᏁᎭ)
ᎠᏆᎵᏂᎬᏁᎭ,Laboring for someone. (ᎤᎵᏂᎬᏁᎭ)
ᎤᎵᏂᎬᏁᎸᎢ,Laboring for someone. (ᎤᎵᏂᎬᏁᎭ)
ᎤᎵᏂᎬᏁᎰᎢ,Laboring for someone. (ᎤᎵᏂᎬᏁᎭ)
ᏣᎵᏂᎬᏏ,Laboring for someone. (ᎤᎵᏂᎬᏁᎭ)
ᎤᎵᏂᎬᏁᏗ,Laboring for someone. (ᎤᎵᏂᎬᏁᎭ)
ᎤᏬᎯᏨᎢ,For some time (it happened). For some days (it happened).
ᎤᏰᎸᏗ,Reason. Cause. Motive.
ᎧᏃᎮᏛ,News.
ᎬᏂ,Until.
ᎬᏂᏳ,Behold. Lo.
ᏂᎦᎵᏍᏘᎭ,becoming (ᏂᎦᎵᏍᏘᎭ)
ᏄᎵᏍᏔᏅᎢ,becoming (ᏂᎦᎵᏍᏘᎭ)
ᏂᎦᎵᏍᏗᏍᎪᎢ,becoming (ᏂᎦᎵᏍᏘᎭ)
ᎿᎵᏍᏓᏏ,becoming (ᏂᎦᎵᏍᏘᎭ)
ᎢᏳᎵᏍᏙᏗ,becoming (ᏂᎦᎵᏍᏘᎭ)
ᏂᎦᎵᏍᏙᏗ,A cause for becoming.
ᏄᏍᏗ,"His, its way."
ᎾᏆᏍᏗ,My way.
ᏄᏍᏙᎢ,usual way
ᏂᏣᏍᏕᏍᏗ,Let your way be.
ᎢᏳᏍᏗ,For his way to be.
ᎤᏍᏗᏳ,Place to look.
ᎾᏍᎩ,they-who|he-who|that-which
ᎢᏳᏃ,if possible that
ᎤᏍᏆᏂᎪᏗ,interesting (CWL)
ᎢᎸᎯᏢᎢ,"the-place-which|somewhere|(see Ꮲ, ᎢᎸᏢᎢ CED)"
ᏣᏔᎦ,chicken
ᎾᎿ,that-there
